original_startlatitude,original_startlongitude,original_trip_count,distance,formatted,lat,lon,name,housenumber,street,zipcode,district,suburb,city,county,state,state_code,country,country_code,attribution,attribution_license,attribution_url,,,,,,
36.037283,-86.625429,1,21.26127875,"799 Ansley Court, Nashville-Davidson, TN 37013, United States of America",36.037474,-86.625418,,799,Ansley Court,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37013,8
36.044707,-86.687247,1,28.30035322,"1401 Bell Road, Nashville-Davidson, TN 37211, United States of America",36.044457,-86.687306,,1401,Bell Road,37211,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37204,277
36.049654,-86.698583,1,26.82963175,"200 Ash Grove Drive, Nashville-Davidson, TN 37211, United States of America",36.049521,-86.698832,,200,Ash Grove Drive,37211,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37205,2
36.059902,-86.765159,1,17.98052994,"618 Oakley Drive, Nashville, TN 37220, United States of America",36.060056,-86.765098,,618,Oakley Drive,37220,,Crieve Hall,Nashville,Davidson County,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,37210,8
36.062873,-86.627801,1,127.4409578,"Walgreens, 2909 Murfreesboro Pike, Nashville-Davidson, TN 37013, United States of America",36.06390695,-86.62841269,Walgreens,2909,Murfreesboro Pike,37013,,South HS 1,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37211,16
36.065018,-86.61029,1,46.06159371,"599 Oak Timber Place, Nashville-Davidson, TN 37013, United States of America",36.065355,-86.610588,,599,Oak Timber Place,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37212,96
36.065055,-86.61027,1,43.92937893,"599 Oak Timber Place, Nashville-Davidson, TN 37013, United States of America",36.065355,-86.610588,,599,Oak Timber Place,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37215,84
36.065059,-86.610257,1,44.36753032,"599 Oak Timber Place, Nashville-Davidson, TN 37013, United States of America",36.065355,-86.610588,,599,Oak Timber Place,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37217,4
36.065138,-86.610249,1,38.86761354,"599 Oak Timber Place, Nashville-Davidson, TN 37013, United States of America",36.065355,-86.610588,,599,Oak Timber Place,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37220,1
36.065169,-86.610446,1,24.30360673,"599 Oak Timber Place, Nashville-Davidson, TN 37013, United States of America",36.065355,-86.610588,,599,Oak Timber Place,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,37221,3
36.065252,-86.610478,8,15.13047267,"599 Oak Timber Place, Nashville-Davidson, TN 37013, United States of America",36.065355,-86.610588,,599,Oak Timber Place,37013,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,499
36.082994,-86.867284,1,7.578233766,"Percy Warner Golf Course, Forrest Park Drive, Nashville-Davidson, TN 37205, United States of America",36.0837702,-86.86980033,Percy Warner Golf Course,,Forrest Park Drive,37205,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.083237,-86.867052,1,8.820383278,"Percy Warner Golf Course, Forrest Park Drive, Nashville-Davidson, TN 37205, United States of America",36.0837702,-86.86980033,Percy Warner Golf Course,,Forrest Park Drive,37205,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.087952,-86.608901,1,6.951184648,"2837 Smith Springs Road, Nashville-Davidson, TN 37217, United States of America",36.08801451,-86.60890188,,2837,Smith Springs Road,37217,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.090732,-86.918008,1,11.00591208,"Eagle Ridge at the Reserve, Nashville-Davidson, TN 37221, United States of America",36.0892735,-86.918329,Eagle Ridge at the Reserve,,Eagle Ridge at the Reserve,37221,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.090926,-86.918005,1,9.409998181,"Eagle Ridge at the Reserve, Nashville-Davidson, TN 37221, United States of America",36.0892735,-86.918329,Eagle Ridge at the Reserve,,Eagle Ridge at the Reserve,37221,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.091248,-86.917859,1,7.891171259,"Eagle Ridge at the Reserve, Nashville-Davidson, TN 37221, United States of America",36.0887432,-86.9172992,Eagle Ridge at the Reserve,,Eagle Ridge at the Reserve,37221,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
36.094142,-86.805926,1,23.40981223,"1208 Lone Oak Road, Nashville-Davidson, TN 37215, United States of America",36.09393147,-86.80592571,,1208,Lone Oak Road,37215,,,Nashville-Davidson,Davidson County,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright,,,,,,
