company,scooter,trips,total_duration,total_distance,used_frequently
Lime,Powered5TPLMIM2ERERA,1,11.35,2916.6312,False
Lime,PoweredBHQPF4NGORWCW,1,19.0,5221.1692161195,False
Lime,PoweredYKV5FXKAZI7PM,1,16.0,4421.6271242618,False
Lime,PoweredVT6NZR3V4FK32,1,4.55,2568.8664,False
Lime,PoweredOWUKKLHXYLAY5,1,2.7,4308714.0096,False
Lime,PoweredVHXG4YMAZZXKK,1,4.0,3254852.71757476,False
Lime,PoweredW2NM2LRPUCDLI,1,16.1,324.612,False
Lime,Powered7HR5EXAPETPUE,1,13.6833333333,0.0,False
Lime,PoweredOYR4Z7EPJIR6R,1,10.3,4242.0744,False
Lime,PoweredW7MV5NKAW7EZN,1,42.6,24474.768,False
Lime,PoweredHKGTITMLQNEMO,1,7.0,3773.0119587793,False
Lime,PoweredNW7CIMULITUAA,1,7.6333333333,3559.668,False
Lime,PoweredPGY7IKLCK74X4,1,2.35,96704.8104,False
Lime,PoweredSETDVUGL76C6T,1,16.1666666667,5419.8816,False
Lime,Powered2CU4OJRVMKLH6,1,53.4333333333,13451.28,False
Lime,PoweredJJWV4IOV7I3J5,1,21.0,10933.2910596487,False
Lime,PoweredWVL6I3IS3PLN2,1,17.5166666667,769.9248,False
Lime,Powered2H5V6OCMDMG6O,1,4.0,164.3779662961,False
Lime,PoweredWVTEJ6YBZOFVW,1,2.0,2989925.214528968,False
Lime,Powered5JKK2RKW6SMCM,1,38.0,12452.6179052144,False
Lime,Powered5E5BGXNTTSFZV,1,7.0,3110.9261506456,False
Lime,PoweredS3KN7NPZZXTZ2,1,12.0,10248.5640199924,False
Lime,PoweredSILMHFH47KBX2,1,7.6833333333,3034.74,False
Lime,PoweredU2FE76E4NYFDT,1,34.0,7968.5363777443,False
Lime,PoweredD5RFGKRX4NGPS,1,2.6,0.0,False
Lime,Powered4ZVHJW6PIHR4I,1,6.7166666667,1056.4176,False
Lime,PoweredAL5VJH3BPSQ5A,1,34.0,11988.286413582,False
Lime,Powered4ULNCUG73ZJ3Y,1,9.5,2785.3992,False
Lime,PoweredK56UAAYB7CQKM,1,4.3666666667,469.1544,False
Lime,Powered4TYD7HRSSVJHM,1,3.4666666667,65.616,False
Lime,PoweredISMBDKPJFWVJJ,1,16.0,5910.6598644569,False
Lime,StandardLIRPOZ7X3ZVGO,1,5.1333333333,0.0,False
