ZipCode,Population
Tennessee,7051339
37010,5425
37012,2082
37013,102184
37014,2954
37015,18979
37016,927
37018,2487
37019,788
37020,5228
37022,6499
37023,1384
37025,5089
37026,2424
37027,60610
37028,347
37029,7018
37030,7821
37031,4137
37032,5236
37033,8090
37034,7549
37035,3551
37036,6338
37037,8798
37040,58490
37042,82706
37043,51607
37046,5935
37047,2275
37048,6727
37049,3895
37050,1812
37051,3879
37052,1688
37055,28369
37057,718
37058,7620
37059,1487
37060,2683
37061,5340
37062,12848
37064,60932
37066,57618
37067,32417
37069,20396
37072,32097
37073,14253
37074,10568
37075,70819
37076,38557
37078,461
37079,2901
37080,7101
37082,5705
37083,15289
37085,5165
37086,36668
37087,50976
37090,15857
37091,23107
37095,2535
37096,5963
37097,1870
37098,6404
37101,6714
37110,32956
37115,41274
37118,1078
37122,62696
37127,20242
37128,69285
37129,59266
37130,59046
37132,2662
37134,3151
37135,21171
37137,2449
37138,24267
37140,1713
37141,1256
37142,2030
37143,3864
37144,3403
37145,2672
37146,7554
37148,24880
37149,2103
37150,4572
37151,434
37153,5349
37160,35264
37165,60
37166,14108
37167,60408
37171,1353
37172,31161
37174,46204
37175,694
37178,1986
37179,16192
37180,4295
37181,1679
37183,3146
37184,6943
37185,8846
37186,10718
37187,7746
37188,16351
37189,4412
37190,8702
37191,4255
37201,1477
37203,18100
37204,17047
37205,25437
37206,28694
37207,40697
37208,19546
37209,37363
37210,16593
37211,75073
37212,20917
37213,45
37214,31341
37215,22829
37216,19227
37217,31096
37218,15056
37219,1411
37220,6481
37221,42232
37228,1650
37232,0
37238,0
37301,976
37302,5070
37303,24621
37305,1037
37306,2227
37307,5065
37308,2431
37309,2201
37310,3338
37311,30148
37312,36102
37313,1222
37315,1761
37316,0
37317,2729
37318,1836
37321,20498
37322,8359
37323,31127
37324,5153
37325,1693
37326,496
37327,11834
37328,1285
37329,6207
37330,6729
37331,6901
37332,2241
37333,513
37334,24144
37335,2617
37336,5220
37337,742
37338,2941
37339,1682
37340,514
37341,13116
37342,3955
37343,41540
37345,2583
37347,8235
37348,692
37350,2070
37351,290
37352,3155
37353,5034
37354,17363
37355,28492
37356,2814
37357,5619
37359,1090
37360,1923
37361,1708
37362,3447
37363,39400
37365,1835
37366,974
37367,11868
37369,486
37370,5551
37373,3168
37374,1781
37375,3853
37376,361
37377,16300
37379,27698
37380,6266
37381,9856
37383,315
37385,8599
37387,3914
37388,26426
37391,1756
37394,99
37396,252
37397,9895
37398,15530
37402,4293
37403,7452
37404,13152
37405,18788
37406,13243
37407,10169
37408,2121
37409,3399
37410,3346
37411,18379
37412,21937
37415,22706
37416,14742
37419,6152
37421,53653
37450,0
37601,36707
37604,37150
37614,2666
37615,21992
37616,4860
37617,14615
37618,13073
37620,38335
37640,3281
37641,9710
37642,14873
37643,33713
37645,5460
37650,12937
37656,3420
37657,887
37658,3894
37659,28109
37660,38778
37663,13958
37664,28543
37665,4990
37680,378
37681,6071
37682,579
37683,13943
37686,8667
37687,4528
37688,932
37690,5173
37691,554
37692,5077
37694,2075
37701,8393
37705,5099
37708,6497
37709,3943
37710,1128
37711,5300
37713,1410
37714,4326
37715,830
37716,26441
37719,62
37721,14163
37722,6864
37723,1154
37724,2465
37725,18055
37726,1901
37727,2234
37729,1675
37730,45
37731,619
37732,38
37733,0
37737,6240
37738,5002
37742,6289
37743,24890
37745,19305
37748,16300
37752,6049
37753,1047
37754,3546
37755,2913
37756,3102
37757,9880
37760,13839
37762,2581
37763,16165
37764,10051
37765,703
37766,17534
37769,5561
37770,2801
37771,17837
37772,13287
37774,18914
37777,13113
37779,3505
37801,27724
37803,32701
37804,26934
37806,3156
37807,11338
37809,2179
37810,1906
37811,4203
37813,17458
37814,34138
37818,5378
37819,648
37820,7213
37821,21710
37825,8850
37826,4394
37828,1489
37829,1899
37830,31633
37840,10457
37841,9601
37843,4265
37845,374
37846,4154
37847,2893
37848,79
37849,28971
37851,0
37852,3084
37853,3347
37854,12290
37857,20383
37860,3964
37861,8196
37862,23016
37863,6516
37865,24701
37866,1632
37869,4557
37870,4175
37871,9101
37872,1978
37873,4285
37874,15490
37876,32305
37877,8922
37878,404
37879,11509
37880,3927
37881,1871
37882,2848
37885,5958
37886,4678
37887,7224
37888,3428
37890,7708
37891,3597
37892,2067
37902,2371
37909,16192
37912,21729
37914,20482
37915,5200
37916,13967
37917,25671
37918,46160
